name,root_url,ecosystems,separator,found_repos
uap-scala,https://github.com/ua-parser/uap-scala,"Go, Maven",-,"uap-clj, uap-cpp, uap-csharp, uap-go, uap-haskell, uap-java, uap-perl, uap-php, uap-python, uap-r, uap-ruby, uap-rust, uap-scala"
apitally-java,https://github.com/apitally/apitally-java,"Go, Maven",-,"apitally-dotnet, apitally-go, apitally-java, apitally-js, apitally-py"
cloud-opensource-java,https://github.com/googlecloudplatform/cloud-opensource-java,"Go, Maven",-,"cloud-opensource-java, cloud-opensource-python"
lunar-java,https://github.com/6tail/lunar-java,"Go, Maven",-,"lunar-csharp, lunar-flutter, lunar-go, lunar-java, lunar-javascript, lunar-php, lunar-python, lunar-swift, lunar-typescript"
icon-sdk-java,https://github.com/icon-project/icon-sdk-java,"Go, Maven",-,"icon-sdk-java, icon-sdk-js, icon-sdk-python"
connect-kotlin,https://github.com/connectrpc/connect-kotlin,"Go, Maven",-,"connect-dart, connect-go, connect-kotlin, connect-python, connect-swift"
morphir,https://github.com/finos/morphir,"Go, Maven",-,"morphir-dotnet, morphir-go, morphir-jvm, morphir-python, morphir-rust, morphir-scala"
jenkins,https://github.com/jenkinsci/jenkins,"Go, NPM",.,"jenkins.py, jenkins.rb"
pact-js,https://github.com/pact-foundation/pact-js,"Go, NPM",-,"pact-cplusplus, pact-go, pact-js, pact-jvm, pact-net, pact-php, pact-python, pact-ruby"
protobuf-ts,https://github.com/timostamm/protobuf-ts,"Go, NPM",-,"protobuf-npm, protobuf-ts"
jhipster-kotlin,https://github.com/jhipster/jhipster-kotlin,"Go, NPM",-,"jhipster-dotnet, jhipster-go, jhipster-kotlin, jhipster-net, jhipster-php"
coc-go,https://github.com/josa42/coc-go,"Go, NPM",-,"coc-go, coc-lua, coc-scala"
pipedream,https://github.com/pipedreamhq/pipedream,"Go, NPM",-,"pipedream-go, pipedream-py"
