Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo
github.com/fantasize-zero/hash-wasm-rs,196451,hash-wasm-rs,https://github.com/fantasize-zero,https://github.com/fantasize-zero/hash-wasm-rs,2127515,hash-wasm-rs,https://github.com/fantasize-zero,git+https://github.com/fantasize-zero/hash-wasm-rs.git
github.com/metaplex-foundation/mpl-distro,196466,mpl-distro,,https://github.com/metaplex-foundation/mpl-distro,704398,@metaplex-foundation/mpl-distro-resize,https://metaplex.com,git+https://github.com/metaplex-foundation/mpl-distro.git
github.com/ayangweb/tauri-plugin-clipboard-x,196577,tauri-plugin-clipboard-x,,https://github.com/ayangweb/tauri-plugin-clipboard-x,3346768,tauri-plugin-clipboard-x-api,https://github.com/ayangweb/tauri-plugin-clipboard-x#readme,git+https://github.com/ayangweb/tauri-plugin-clipboard-x.git
github.com/mcjars/mcvcli,196663,mcvcli,https://github.com/mcjars/mcvcli,https://github.com/mcjars/mcvcli.git,2504783,mcvcli,https://github.com/mcjars/mcvcli,git+https://github.com/mcjars/mcvcli.git
github.com/erwanvivien/fast_qr,196786,fast_qr,https://fast-qr.com/,https://github.com/erwanvivien/fast_qr/,1930478,fast_qr,https://fast-qr.com/,git+https://github.com/erwanvivien/fast_qr.git
github.com/choochmeque/tauri-plugin-biometry,196896,tauri-plugin-biometry,,https://github.com/Choochmeque/tauri-plugin-biometry,201627,@choochmeque/tauri-plugin-biometry-api,https://github.com/Choochmeque/tauri-plugin-biometry#readme,git+https://github.com/Choochmeque/tauri-plugin-biometry.git
github.com/kevingimbel/mktoc,196936,mktoc,,https://github.com/kevingimbel/mktoc,3628631,webtoc,https://github.com/KevinGimbel/mktoc#readme,git+https://github.com/KevinGimbel/mktoc.git
github.com/qipkg/qipi,197058,qipi,https://qipi.pages.dev,https://github.com/qipkg/qipi,2924394,qipi,https://qipi.pages.dev,git+https://github.com/qipkg/qipi.git
github.com/ocudigital/opticalc,197144,opticalc,,https://github.com/ocudigital/opticalc,2783501,opticalc,https://github.com/ocudigital/opticalc#readme,git+https://github.com/ocudigital/opticalc.git
github.com/suenot/aicommit,197165,aicommit,,https://github.com/suenot/aicommit,1052567,@suenot/aicommit,https://github.com/suenot/aicommit#readme,git+https://github.com/suenot/aicommit.git
github.com/blankeos/iconmate,197181,iconmate,,https://github.com/Blankeos/iconmate,2197847,iconmate,https://github.com/Blankeos/iconmate#readme,git+https://github.com/Blankeos/iconmate.git
github.com/eventdbx/eventdbx,197191,eventdbx,https://github.com/eventdbx/eventdbx,https://github.com/eventdbx/eventdbx,1894790,eventdbx,https://github.com/eventdbx/eventdbx#readme,git+https://github.com/eventdbx/eventdbx.git
github.com/vasak-os/tauri-plugin-config-manager,197257,tauri-plugin-config-manager,,https://github.com/Vasak-OS/tauri-plugin-config-manager,1163364,@vasakgroup/plugin-config-manager,,https://github.com/Vasak-OS/tauri-plugin-config-manager.git
github.com/arclabs561/rank-refine,197280,rank-refine,,https://github.com/arclabs561/rank-refine,91754,@arclabs561/rank-refine,https://github.com/arclabs561/rank-refine#readme,git+https://github.com/arclabs561/rank-refine.git
