Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
github.com/blockstream/greenlight,205708,gl-cli,https://blockstream.github.io/greenlight/,https://github.com/Blockstream/greenlight,243744,gl-client,https://pypi.org/project/gl-client/,https://github.com/Blockstream/greenlight
github.com/palfrey/shucker,23166,shucker,,https://github.com/palfrey/shucker,590091,shucker,https://pypi.org/project/shucker/,https://github.com/palfrey/shucker
github.com/russellromney/tenement,23212,tenement,https://tenement.dev,https://github.com/russellromney/tenement,640135,tenement,https://tenement.dev,https://github.com/russellromney/tenement
github.com/asozialesnetzwerk/hangman_solver,23753,hangman_solver,,https://github.com/asozialesnetzwerk/hangman_solver,257589,hangman-solver-rs,https://pypi.org/project/hangman-solver-rs/,https://github.com/asozialesnetzwerk/hangman_solver
github.com/trex-coe/trexio,23802,trexio,,https://github.com/trex-coe/trexio,664658,trexio,https://github.com/TREX-CoE/trexio,https://github.com/TREX-CoE/trexio
github.com/codde-pi/codde_protocol,109735,codde_protocol_derive,https://github.com/codde-pi/codde_protocol,,100961,codde-protocol-client,https://github.com/codde-pi/codde_protocol,https://github.com/codde-pi/codde_protocol
github.com/russellromney/forkstack,23997,forkstack,https://forkstack.xyz,https://github.com/russellromney/forkstack,223729,forkstack,https://forkstack.xyz,https://github.com/russellromney/forkstack
github.com/gaker/rapidgeo,208654,rapidgeo-simplify,https://github.com/gaker/rapidgeo,https://github.com/gaker/rapidgeo,545394,rapidgeo,https://github.com/gaker/rapidgeo,https://github.com/gaker/rapidgeo
github.com/matrix-org/rust-http-rendezvous-server,72485,matrix-http-rendezvous-server,,https://github.com/matrix-org/rust-http-rendezvous-server/,346080,matrix-http-rendezvous-synapse,https://pypi.org/project/matrix-http-rendezvous-synapse/,https://github.com/matrix-org/rust-http-rendezvous-server/
github.com/seventh-sense-artificial-intelligence/nbis-rs,24381,nbis-rs,https://github.com/Seventh-Sense-Artificial-Intelligence/nbis-rs,https://github.com/Seventh-Sense-Artificial-Intelligence/nbis-rs,387578,nbis-py,https://github.com/Seventh-Sense-Artificial-Intelligence/nbis-rs,https://github.com/Seventh-Sense-Artificial-Intelligence/nbis-rs
github.com/nguyenvukhang/gitnu,24405,gitnu,https://github.com/nguyenvukhang/gitnu,https://github.com/nguyenvukhang/gitnu,242742,gitnu,https://pypi.org/project/gitnu/,https://github.com/nguyenvukhang/gitnu
github.com/suvash/lakh-crore-numbers,24820,lakh-crore-numbers,,https://github.com/suvash/lakh-crore-numbers/tree/main/rust,314546,lakh-crore-numbers,https://github.com/suvash/lakh-crore-numbers/tree/main/python,https://github.com/suvash/lakh-crore-numbers/tree/main/python
github.com/arakhmat/pyrpds,24831,pyrpds,https://github.com/arakhmat/pyrpds/,https://github.com/arakhmat/pyrpds/,517022,pyrpds,https://github.com/arakhmat/pyrpds/,https://github.com/arakhmat/pyrpds/
github.com/cfr2ak/willard,24904,willard,,https://github.com/cfr2ak/willard/tree/master,701038,willard,https://github.com/cfr2ak/willard,https://github.com/cfr2ak/willard
github.com/zerotier/libzt,25012,libzt,https://www.zerotier.com,https://github.com/zerotier/libzt,323771,libzt,https://github.com/zerotier/libzt,https://github.com/zerotier/libzt
github.com/sigmasd/irust,160227,irust_repl,,https://github.com/sigmaSd/IRust/tree/master/crates/irust_repl,288502,irust-kernel,https://pypi.org/project/irust-kernel/,https://github.com/sigmasd/irust/
github.com/decompollaborate/ipl3checksum,25575,ipl3checksum,,https://github.com/decompollaborate/ipl3checksum,286983,ipl3checksum,https://pypi.org/project/ipl3checksum/,https://github.com/Decompollaborate/ipl3checksum
github.com/ascpkg/asc,183991,asc_bin,,https://github.com/ascpkg/asc/tree/main/asc_bin,34392,asc-bin,https://pypi.org/project/asc-bin/,https://github.com/ascpkg/asc/tree/main/asc_bin
github.com/quantaxis/quantaxis,25903,qapro-rs,https://github.com/yutiansut/quantaxis,https://github.com/quantaxis/quantaxis,539652,quantaxis-lance,https://github.com/quantaxis/quantaxis,https://github.com/quantaxis/quantaxis
github.com/tomchaplin/lophat,25941,lophat,https://github.com/tomchaplin/lophat,https://github.com/tomchaplin/lophat,334333,lophat,https://github.com/tomchaplin/lophat,https://github.com/tomchaplin/lophat
github.com/al8n/pyo3-io,36851,pyo3io-macros,https://github.com/al8n/pyo3-io,https://github.com/al8n/pyo3-io,229663,futuresio,http://github.com/al8n/pyo3-io,http://github.com/al8n/pyo3-io
github.com/coredb-io/coredb,128218,tembo-pg-cnpg,https://www.coredb.io,https://github.com/CoreDB-io/coredb/tree/main/postgres,112607,coredb-pgmq-python,https://pypi.org/project/coredb-pgmq-python/,https://github.com/CoreDB-io/coredb/tree/main/pgmq/coredb-pgmq-python
github.com/promised-ai/lace,150226,lace_metadata,https://www.lace.dev/,https://github.com/promised-ai/lace,504175,pylace,https://pypi.org/project/pylace/,https://github.com/promised-ai/lace
github.com/althonos/lightmotif,174298,lightmotif-py,https://github.com/althonos/lightmotif/tree/main/lightmotif-py,https://github.com/althonos/lightmotif,324467,lightmotif,https://github.com/althonos/lightmotif/tree/main/lightmotif-py,https://github.com/althonos/lightmotif/tree/main/lightmotif-py
github.com/googlefonts/fontc,208214,fea-rs,,https://github.com/googlefonts/fontc,667817,ttx-diff,https://pypi.org/project/ttx-diff/,https://github.com/googlefonts/fontc
github.com/robot-exp-platform/franka-rust,26171,franka_rust,,https://github.com/Robot-Exp-Platform/franka-rust,225490,franka-rust,https://pypi.org/project/franka-rust/,https://github.com/Robot-Exp-Platform/franka-rust
github.com/nnpdf/pineappl,153286,pineappl_applgrid,,https://github.com/NNPDF/pineappl,461243,pineappl-cli,https://pypi.org/project/pineappl-cli/,https://github.com/NNPDF/pineappl
github.com/nanaian/merlon,26269,merlon,,https://github.com/nanaian/merlon,354145,merlon,https://pypi.org/project/merlon/,https://github.com/nanaian/merlon
github.com/wenig/meanshift-rs,26813,meanshift-rs,,https://github.com/wenig/meanshift-rs,351101,meanshift-rs,https://pypi.org/project/meanshift-rs/,https://github.com/wenig/meanshift-rs
github.com/cosmicexplorer/medusa-zip,127203,pymedusa-zip,https://github.com/cosmicexplorer/medusa-zip,https://github.com/cosmicexplorer/medusa-zip,351997,medusa-zip,https://pypi.org/project/medusa-zip/,https://github.com/cosmicexplorer/medusa-zip
github.com/anbowell/whittaker-eilers,27212,whittaker-eilers,https://github.com/AnBowell/whittaker-eilers,https://github.com/AnBowell/whittaker-eilers,700082,whittaker-eilers,https://pypi.org/project/whittaker-eilers/,https://github.com/AnBowell/whittaker-eilers/tree/main/whittaker-eilers-py
github.com/david-oconnor/pyflow,27355,pyflow,https://www.github.com/David-OConnor/pyflow,https://www.github.com/David-OConnor/pyflow,498349,pyflow,https://www.github.com/David-OConnor/pyflow,https://www.github.com/David-OConnor/pyflow
github.com/hqsquantumsimulations/qoqo_qasm,28265,qoqo_qasm,https://github.com/HQSquantumsimulations/qoqo_qasm,https://github.com/HQSquantumsimulations/qoqo_qasm,538076,qoqo-qasm,https://github.com/HQSquantumsimulations/qoqo_qasm,https://github.com/HQSquantumsimulations/qoqo_qasm
github.com/instantdomain/instant-distance,28100,instant-distance,https://github.com/InstantDomain/instant-distance,https://github.com/InstantDomain/instant-distance,283615,instant-distance,https://github.com/InstantDomain/instant-distance,https://github.com/InstantDomain/instant-distance
github.com/elastic/goko,33359,goko,https://github.com/elastic/goko,https://github.com/elastic/goko.git,500583,pygoko,https://github.com/elastic/goko,https://github.com/elastic/goko
